;id_cliente;nombre;apellidoS   ;FECHA NACIMIENTO;ciudad;fecha_registro  ;ultima_compra
0;1.0;Ana;Díaz;06/01/2000;Bogotá;19/01/2022;14/02/2022
1;2.0;Carlos;López;02/08/1980;Barranquilla;21/01/2022;15/02/2022
2;3.0;Pedro;Pérez;10/06/1976;Cartagena;22/02/2022;04/04/2022
3;4.0;Juan;López;17/04/1993;Cartagena;25/01/2022;07/03/2022
4;5.0;Elena;Pérez;21/07/2000;Barranquilla;15/02/2022;28/03/2022
5;6.0;Rosa;Sánchez;07/05/1954;Medellín;31/01/2022;05/02/2022
6;7.0;Juan;López;24/11/1977;Cartagena;03/04/2022;10/03/2022
7;8.0;Sofía;Díaz;31/08/1976;Medellín;31/03/2022;14/01/2022
8;9.0;Sofía;Martínez;23/09/1994;Barranquilla;22/01/2022;27/03/2022
9;10.0;Pedro;Pérez;07/12/2000;Medellín;01/04/2022;27/02/2022
10;11.0;Diego;López;02/12/1969;Bogotá;27/02/2022;20/01/2022
11;12.0;Sofía;Sánchez;04/03/1960;Barranquilla;07/02/2022;01/04/2022
12;13.0;Ana;Pérez;14/05/1983;Barranquilla;13/01/2022;26/03/2022
13;14.0;Ana;López;07/01/2003;Cartagena;08/01/2022;05/04/2022
14;15.0;Luis;Pérez;01/02/1952;Cartagena;12/02/2022;01/02/2022
15;16.0;Sofía;Díaz;29/11/1976;Cartagena;06/04/2022;26/03/2022
16;17.0;Diego;Sánchez;26/12/1966;Cartagena;12/01/2022;12/02/2022
17;18.0;Carlos;Ramírez;13/07/1992;Medellín;14/02/2022;26/03/2022
18;19.0;Diego;Sánchez;19/01/1964;Bogotá;14/01/2022;27/02/2022
19;20.0;Ana;Martínez;16/05/1984;Cartagena;14/03/2022;05/04/2022
20;21.0;Juan;López;18/08/1961;Barranquilla;29/01/2022;02/02/2022
21;22.0;Diego;López;14/06/1961;Medellín;27/03/2022;31/03/2022
22;23.0;Carlos;Pérez;11/10/1957;Bogotá;23/02/2022;21/02/2022
23;24.0;Juan;Díaz;10/12/1990;Bogotá;06/04/2022;06/01/2022
