;id_orden;id_cliente;Producto;monto DE COMPRA;Fecha orden;Identificacionn;tipo venta;REGION
0;1001;273.0;A;300.7;31/10/2022;43453698.0;presencial;Este
1;1002;1468.0;B;106.56;07/06/2021;27299420.0;online;Norte
2;1003;;E;133.42;02/04/2021;23461449.0;online;Este
3;1004;;C;65.44;07/12/2020;15328088.0;presencial;Este
4;1005;;A;338.98;27/04/2023;90319318.0;presencial;Oeste
5;1006;420.0;A;239.61;03/03/2021;82343314.0;venta telefónica;Norte
6;1007;727.0;A;114.0;28/08/2024;24251546.0;venta directa;Norte
7;1008;1071.0;D;491.59;29/01/2021;27278790.0;venta directa;Este
8;1009;295.0;D;159.89;28/10/2024;12635851.0;presencial;Este
9;1010;2279.0;B;247.24;03/05/2021;40764864.0;venta telefónica;Sur
10;1011;222.0;C;354.02;25/08/2023;93197882.0;online;Oeste
11;1012;;C;70.71;02/12/2022;55904019.0;venta telefónica;Oeste
12;1013;471.0;A;366.83;05/05/2021;83760763.0;venta directa;Oeste
13;1014;772.0;B;69.83;25/09/2021;72958625.0;venta directa;Norte
14;1015;222.0;E;417.52;17/05/2024;85625338.0;online;Sur
15;1016;1548.0;A;103.81;07/10/2023;49124127.0;presencial;Sur
16;1017;2387.0;D;61.68;17/07/2022;48658102.0;online;Norte
17;1018;847.0;A;80.04;10/05/2020;10376853.0;venta telefónica;Este
18;1019;2055.0;E;467.86;06/03/2022;13814283.0;venta directa;Este
19;1020;1171.0;D;72.75;30/03/2024;38138474.0;online;Norte
20;1021;1350.0;D;336.49;28/05/2024;41083919.0;presencial;Este
21;1022;1476.0;A;54.6;06/10/2024;72180006.0;venta telefónica;Oeste
22;1023;1213.0;D;413.01;03/08/2023;25789161.0;presencial;Oeste
23;1024;735.0;C;375.58;20/07/2021;46697392.0;venta directa;Este
24;1025;264.0;A;220.58;17/02/2021;21944053.0;venta directa;Oeste
25;1026;46.0;A;190.67;21/10/2023;35683211.0;venta directa;Oeste
26;1027;150.0;C;298.31;19/09/2020;97349539.0;presencial;Sur
27;1028;2292.0;D;336.23;13/01/2024;86504758.0;presencial;Oeste
28;1029;806.0;D;378.58;14/05/2021;88693659.0;presencial;Norte
29;1030;2047.0;B;232.81;02/06/2024;94234250.0;presencial;Sur
30;1031;1838.0;A;475.77;17/10/2020;36781965.0;online;Oeste
31;1032;1905.0;A;363.33;14/10/2021;53261151.0;online;Oeste
32;1033;520.0;A;213.32;10/08/2021;30999420.0;venta telefónica;Norte
33;1034;2047.0;D;349.26;02/04/2022;13796606.0;online;Este
34;1035;508.0;D;225.36;03/03/2022;76231684.0;presencial;Oeste
35;1036;;B;436.48;17/01/2021;92549133.0;presencial;Sur
36;1037;1291.0;B;409.85;21/04/2022;83891170.0;venta directa;Norte
37;1038;107.0;B;162.23;27/11/2020;46268823.0;presencial;Norte
38;1039;426.0;A;487.17;05/09/2024;83454675.0;venta directa;Oeste
39;1040;1944.0;C;404.91;17/10/2023;37070002.0;presencial;Este
40;1041;909.0;A;345.95;09/10/2022;22822795.0;venta directa;Este
41;1042;1517.0;D;118.61;18/04/2021;69426686.0;online;Oeste
42;1043;940.0;C;106.8;28/09/2020;10104815.0;online;Norte
43;1044;1285.0;B;321.24;05/07/2022;19320475.0;online;Este
44;1045;1960.0;A;271.32;31/03/2024;66512893.0;presencial;Oeste
45;1046;872.0;A;264.92;11/02/2024;24160733.0;online;Sur
46;1047;1841.0;E;380.27;23/06/2020;77667243.0;presencial;Sur
47;1048;506.0;D;169.39;10/09/2022;70624337.0;venta telefónica;Sur
48;1049;2142.0;C;63.1;01/06/2024;15020819.0;venta telefónica;Oeste
49;1050;2232.0;C;236.65;15/07/2021;38422377.0;venta telefónica;Este
50;1051;1914.0;D;353.51;05/09/2022;80286388.0;presencial;Norte
51;1052;1546.0;B;422.93;22/02/2024;10632891.0;presencial;Este
52;1053;2316.0;B;326.01;08/02/2021;63255208.0;presencial;Sur
53;1054;1302.0;C;209.28;14/04/2021;16871536.0;presencial;Este
54;1055;1661.0;C;482.07;26/03/2020;18792485.0;presencial;Este
55;1056;;D;135.87;24/04/2022;32137447.0;venta telefónica;Oeste
56;1057;2111.0;B;419.15;24/11/2021;13002500.0;venta directa;Sur
57;1058;696.0;D;366.41;01/03/2021;54283225.0;venta directa;Oeste
58;1059;740.0;C;140.23;11/05/2023;51676042.0;venta telefónica;Norte
59;1060;746.0;C;351.71;27/08/2020;70622712.0;venta telefónica;Sur
60;1061;990.0;E;319.47;13/06/2023;37058661.0;venta telefónica;Sur
61;1062;89.0;D;244.54;21/01/2023;84670829.0;venta telefónica;Norte
62;1063;943.0;E;371.09;12/09/2020;31102614.0;presencial;Este
63;1064;2448.0;A;368.39;27/06/2023;28249970.0;presencial;Oeste
64;1065;2294.0;D;456.9;10/08/2022;20811806.0;venta directa;Norte
65;1066;775.0;A;162.94;15/10/2022;53377489.0;venta telefónica;Oeste
66;1067;623.0;C;438.72;28/12/2023;16845447.0;venta telefónica;Este
67;1068;975.0;A;96.5;14/12/2023;21564190.0;venta directa;Sur
68;1069;;A;440.75;20/02/2022;92403745.0;venta directa;Este
69;1070;1521.0;B;477.43;07/12/2022;81728754.0;venta directa;Oeste
70;1071;2331.0;C;173.88;03/10/2020;21013474.0;venta directa;Sur
71;1072;1007.0;E;101.98;02/01/2024;52217719.0;presencial;Norte
72;1073;1516.0;C;143.87;22/05/2024;99721353.0;online;Oeste
73;1074;1266.0;A;386.41;20/08/2020;63597221.0;online;Norte
74;1075;700.0;E;294.53;08/01/2020;15880496.0;online;Sur
75;1076;89.0;C;195.51;25/10/2020;33017127.0;venta directa;Norte
76;1077;1696.0;A;342.11;12/09/2024;93148222.0;venta directa;Oeste
77;1078;152.0;E;245.79;09/04/2020;80433320.0;presencial;Este
78;1079;937.0;A;464.15;15/08/2021;49709683.0;venta directa;Este
79;1080;31.0;A;152.97;28/12/2021;58568939.0;venta telefónica;Este
80;1081;1064.0;A;482.85;05/11/2023;59600545.0;venta directa;Oeste
81;1082;1266.0;E;256.17;22/11/2023;76889248.0;venta directa;Norte
82;1083;70.0;C;137.49;26/04/2021;48158246.0;online;Oeste
83;1084;1692.0;E;251.27;27/04/2021;52074565.0;venta telefónica;Norte
84;1085;1954.0;B;215.63;24/07/2022;26159730.0;presencial;Oeste
85;1086;1977.0;C;253.76;26/01/2021;43992793.0;presencial;Este
86;1087;2481.0;E;243.69;29/07/2020;83903840.0;presencial;Oeste
87;1088;1196.0;D;203.24;05/10/2024;39073932.0;online;Oeste
88;1089;1209.0;A;132.87;13/03/2024;14431648.0;venta directa;Sur
89;1090;1457.0;C;96.6;18/09/2023;16245681.0;venta telefónica;Norte
90;1091;707.0;A;423.2;27/07/2023;91991086.0;online;Sur
91;1092;642.0;D;126.74;23/01/2021;86153897.0;presencial;Oeste
92;1093;497.0;E;119.78;24/08/2021;57601437.0;venta telefónica;Sur
93;1094;402.0;A;73.54;16/12/2021;18573616.0;venta telefónica;Este
94;1095;1503.0;C;260.87;28/11/2021;13837378.0;venta directa;Norte
95;1096;177.0;E;200.82;01/07/2020;30958571.0;presencial;Oeste
96;1097;1282.0;C;451.66;27/09/2024;99811878.0;venta directa;Sur
97;1098;454.0;B;253.1;21/08/2024;61076149.0;venta directa;Norte
98;1099;1893.0;B;212.09;05/05/2024;91338724.0;venta directa;Este
99;1100;106.0;D;366.57;07/10/2024;80401592.0;venta telefónica;Norte
100;1101;1709.0;E;154.78;08/12/2020;61794469.0;presencial;Este
101;1102;238.0;A;155.86;04/08/2023;10445872.0;venta directa;Sur
102;1103;1820.0;D;239.72;28/09/2024;89717003.0;venta directa;Oeste
103;1104;2008.0;B;422.67;10/02/2024;63912939.0;venta telefónica;Norte
104;1105;1749.0;E;378.65;20/02/2023;81497625.0;venta telefónica;Este
105;1106;63.0;B;276.86;18/10/2023;39150550.0;presencial;Este
106;1107;1079.0;D;142.66;28/12/2024;88960996.0;venta telefónica;Norte
107;1108;927.0;D;290.56;14/02/2024;19928464.0;venta telefónica;Oeste
108;1109;738.0;C;135.72;23/04/2022;45508949.0;presencial;Sur
109;1110;;A;265.95;17/07/2021;84508310.0;presencial;Oeste
110;1111;448.0;D;268.48;29/06/2021;63591270.0;presencial;Oeste
111;1112;1160.0;B;294.18;24/11/2023;64949240.0;presencial;Este
112;1113;1825.0;E;183.42;28/08/2020;32510414.0;presencial;Este
113;1114;1814.0;A;174.94;24/06/2023;46188903.0;online;Este
114;1115;1001.0;E;247.44;13/04/2020;27806038.0;venta directa;Sur
115;1116;1414.0;B;327.06;21/04/2023;56736793.0;venta telefónica;Oeste
116;1117;883.0;B;373.98;27/02/2022;19080441.0;venta directa;Este
117;1118;800.0;B;132.45;12/10/2024;17527119.0;presencial;Este
118;1119;1790.0;A;257.68;19/11/2020;14944084.0;presencial;Norte
119;1120;2241.0;D;189.9;09/04/2024;18821264.0;venta directa;Oeste
120;1121;91.0;C;74.39;17/06/2022;49983231.0;presencial;Este
121;1122;794.0;C;491.49;09/01/2023;64682497.0;online;Este
122;1123;895.0;C;255.52;09/08/2022;37623288.0;presencial;Sur
123;1124;91.0;C;221.83;25/06/2020;20978874.0;online;Oeste
124;1125;1897.0;D;452.58;10/04/2023;28164469.0;venta directa;Sur
125;1126;204.0;C;275.85;19/05/2024;55655256.0;online;Sur
126;1127;854.0;D;455.01;31/05/2022;67894728.0;presencial;Oeste
127;1128;998.0;C;367.96;26/02/2021;61506979.0;venta telefónica;Oeste
128;1129;2052.0;A;222.67;11/11/2022;65756417.0;online;Sur
129;1130;279.0;D;180.28;13/02/2021;98844560.0;presencial;Oeste
130;1131;1276.0;D;230.2;24/12/2022;58772857.0;venta telefónica;Oeste
131;1132;962.0;C;464.49;15/06/2024;94575872.0;venta telefónica;Este
132;1133;1111.0;A;118.92;21/04/2022;31888814.0;venta directa;Este
133;1134;1468.0;C;116.84;08/07/2020;51372086.0;online;Norte
134;1135;2479.0;B;474.81;14/07/2020;48973312.0;venta telefónica;Norte
135;1136;1803.0;B;432.68;05/06/2024;88605655.0;online;Norte
136;1137;580.0;D;273.65;24/04/2021;94058113.0;online;Norte
137;1138;1355.0;C;437.55;08/09/2024;39341455.0;venta telefónica;Este
138;1139;135.0;A;497.84;05/03/2023;44393396.0;venta directa;Norte
139;1140;241.0;B;194.57;11/06/2022;53897798.0;online;Norte
140;1141;2303.0;E;114.55;15/04/2020;92462923.0;venta telefónica;Norte
141;1142;847.0;E;191.96;07/01/2022;69852779.0;online;Norte
142;1143;487.0;C;293.5;25/05/2021;47629911.0;online;Sur
143;1144;710.0;C;51.54;11/03/2020;67508638.0;online;Este
144;1145;738.0;B;460.54;12/01/2020;40090193.0;online;Norte
145;1146;421.0;C;58.97;30/07/2022;34653972.0;venta telefónica;Oeste
146;1147;620.0;C;302.09;07/05/2024;53198476.0;venta telefónica;Este
147;1148;433.0;A;409.71;09/06/2020;24095078.0;venta telefónica;Oeste
148;1149;2024.0;C;340.62;19/07/2023;45333875.0;venta telefónica;Oeste
149;1150;986.0;E;169.3;07/09/2023;44523312.0;presencial;Sur
150;1151;;C;499.53;22/10/2023;74403409.0;presencial;Norte
151;1152;1956.0;E;282.39;29/11/2022;84496612.0;presencial;Sur
152;1153;1322.0;C;431.46;12/12/2024;77188718.0;presencial;Norte
153;1154;203.0;A;337.04;27/03/2020;32884631.0;venta telefónica;Oeste
154;1155;809.0;A;425.19;24/01/2022;68199719.0;venta telefónica;Este
155;1156;1632.0;D;188.64;12/05/2022;65157550.0;online;Este
156;1157;1570.0;C;342.6;30/12/2023;12651895.0;venta telefónica;Sur
157;1158;1059.0;A;489.71;09/07/2022;41414180.0;venta directa;Sur
158;1159;567.0;E;259.43;26/03/2024;90260578.0;venta telefónica;Sur
159;1160;;C;391.62;08/06/2024;31749735.0;presencial;Sur
160;1161;1758.0;A;153.34;15/01/2022;15620214.0;online;Oeste
161;1162;2355.0;C;465.21;23/09/2020;70328733.0;presencial;Norte
162;1163;1002.0;B;349.54;09/11/2020;13583283.0;venta directa;Este
163;1164;2287.0;E;497.1;02/06/2022;83412115.0;venta telefónica;Sur
164;1165;2399.0;A;331.51;26/10/2020;16463912.0;venta directa;Oeste
165;1166;776.0;D;196.12;15/12/2022;68454337.0;presencial;Este
166;1167;770.0;E;469.48;15/10/2021;55271042.0;presencial;Sur
167;1168;487.0;B;295.62;07/10/2024;76423175.0;presencial;Sur
168;1169;1227.0;B;89.76;08/04/2024;82215348.0;venta directa;Sur
169;1170;453.0;A;473.97;26/07/2021;11885571.0;online;Oeste
170;1171;1296.0;A;221.71;04/07/2020;85100958.0;venta telefónica;Norte
171;1172;2429.0;A;482.31;29/04/2020;64785730.0;venta telefónica;Oeste
172;1173;56.0;E;472.0;24/09/2020;68616476.0;online;Oeste
173;1174;2186.0;B;245.05;16/11/2020;96174825.0;venta telefónica;Norte
174;1175;1411.0;C;158.89;06/01/2022;19597380.0;venta telefónica;Norte
175;1176;2221.0;E;424.99;20/11/2021;65034944.0;presencial;Sur
176;1177;997.0;D;442.84;06/04/2024;33848574.0;venta telefónica;Norte
177;1178;229.0;B;245.71;06/01/2020;96690660.0;online;Oeste
178;1179;;A;419.16;06/05/2022;86362477.0;venta telefónica;Norte
179;1180;1050.0;D;136.31;14/11/2021;99554443.0;venta telefónica;Sur
180;1181;1088.0;D;190.06;13/01/2022;78280369.0;online;Norte
181;1182;2195.0;C;218.31;01/06/2021;51860771.0;online;Oeste
182;1183;864.0;C;319.01;29/08/2022;75053551.0;presencial;Sur
183;1184;996.0;C;317.33;23/03/2023;40075219.0;venta directa;Este
184;1185;419.0;B;447.16;19/02/2021;65519907.0;presencial;Este
185;1186;242.0;A;98.62;31/08/2023;57566306.0;venta directa;Este
186;1187;1716.0;A;57.5;03/05/2024;26742106.0;online;Este
187;1188;1398.0;A;173.63;03/07/2024;48321572.0;online;Este
188;1189;2251.0;D;227.58;18/01/2023;37862481.0;venta directa;Oeste
189;1190;1650.0;C;497.93;11/11/2023;54553891.0;venta directa;Norte
190;1191;1557.0;C;69.18;05/01/2022;72692987.0;venta directa;Sur
191;1192;1339.0;C;148.73;06/12/2021;13179702.0;venta directa;Oeste
192;1193;2397.0;B;85.15;08/01/2023;35503669.0;venta telefónica;Este
193;1194;907.0;C;121.15;11/05/2023;67299554.0;venta directa;Sur
194;1195;975.0;A;226.83;17/11/2021;51801880.0;venta directa;Oeste
195;1196;1424.0;C;340.1;05/10/2020;22752397.0;venta telefónica;Sur
196;1197;1821.0;C;191.47;31/07/2022;77948790.0;venta telefónica;Oeste
197;1198;264.0;B;163.91;20/02/2024;31166211.0;venta directa;Oeste
198;1199;1556.0;C;310.0;13/12/2023;87388348.0;venta telefónica;Sur
199;1200;1542.0;C;357.6;20/04/2023;61982442.0;online;Este
200;1201;1122.0;B;423.26;27/01/2023;42945403.0;venta directa;Oeste
201;1202;1809.0;A;408.83;03/04/2023;21673729.0;venta telefónica;Este
202;1203;1048.0;E;459.67;16/04/2024;42910236.0;venta directa;Oeste
203;1204;672.0;D;110.55;26/03/2021;99416292.0;online;Norte
204;1205;639.0;E;248.34;29/07/2021;35567753.0;venta telefónica;Norte
205;1206;1625.0;A;433.58;04/09/2022;19192559.0;venta telefónica;Este
206;1207;924.0;D;111.58;18/08/2022;78930361.0;venta telefónica;Norte
207;1208;1987.0;A;306.9;22/06/2020;42612599.0;presencial;Norte
208;1209;1335.0;A;75.47;06/08/2024;10014299.0;venta telefónica;Norte
209;1210;638.0;C;278.72;07/03/2024;93963001.0;venta telefónica;Este
210;1211;715.0;E;191.6;25/08/2023;12831610.0;presencial;Norte
211;1212;1169.0;E;187.44;16/01/2022;89729167.0;presencial;Norte
212;1213;2087.0;D;174.1;05/01/2024;89741226.0;venta telefónica;Norte
213;1214;2127.0;D;396.86;19/04/2024;94278909.0;online;Oeste
214;1215;1016.0;D;55.45;15/07/2022;43390094.0;venta telefónica;Sur
215;1216;1661.0;E;290.86;16/02/2021;87515267.0;online;Sur
216;1217;2460.0;C;400.4;17/09/2021;24985369.0;online;Norte
217;1218;969.0;B;260.26;24/04/2020;66901698.0;venta directa;Norte
218;1219;1985.0;E;187.46;25/11/2021;47735091.0;online;Este
219;1220;1010.0;E;471.28;19/09/2024;77363420.0;online;Norte
220;1221;1124.0;B;279.21;17/01/2022;10963715.0;presencial;Oeste
221;1222;2420.0;B;459.51;11/10/2021;97420406.0;venta directa;Norte
222;1223;93.0;A;283.63;17/03/2023;62579659.0;venta telefónica;Este
223;1224;731.0;D;61.31;17/04/2020;12412265.0;venta directa;Oeste
224;1225;1341.0;A;493.24;30/11/2021;94603289.0;online;Sur
225;1226;15.0;E;228.38;11/11/2021;42109367.0;online;Norte
226;1227;142.0;D;236.71;13/10/2021;99082704.0;venta directa;Oeste
227;1228;1654.0;D;265.25;21/06/2024;78241765.0;venta telefónica;Este
228;1229;1044.0;E;350.9;09/08/2021;45394725.0;presencial;Norte
229;1230;2089.0;A;399.2;04/05/2022;44742798.0;venta directa;Sur
230;1231;2449.0;D;104.0;04/05/2024;43610130.0;venta telefónica;Oeste
231;1232;2141.0;B;231.07;14/03/2020;57760821.0;venta telefónica;Oeste
232;1233;2145.0;B;416.25;01/11/2020;58201211.0;venta telefónica;Sur
233;1234;139.0;E;214.97;27/01/2024;97696283.0;online;Oeste
234;1235;;B;152.25;16/11/2022;64108836.0;online;Norte
